Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
26-SEP-1991, 8.70708, 9.53788, 10.54308, 9.76546, 9.30734, 9.30753, 9.30840, 9.33483, 9.30704, 9.30830, 9.30802, 8.53881, 7.84620, 7.86804, 7.84595
27-SEP-1991, 8.70708, 9.53788, 10.54308, 9.76546, 9.30734, 9.30753, 9.30840, 9.33483, 9.30704, 9.30830, 9.30802, 8.53881, 7.84620, 7.86804, 7.84595
30-SEP-1991, 8.65934, 9.48009, 10.47321, 9.71211, 9.25405, 9.25395, 9.25333, 9.28036, 9.25400, 9.25337, 9.25485, 8.49415, 7.80770, 7.82996, 7.80794
01-OCT-1991, 8.65935, 9.48010, 10.47322, 9.71212, 9.25406, 9.25396, 9.25335, 9.28037, 9.25401, 9.25338, 9.25486, 8.49416, 7.80771, 7.82997, 7.80795
02-OCT-1991, 8.56361, 9.36566, 10.33328, 9.92526, 9.20970, 9.21045, 9.20986, 9.23586, 9.21099, 9.20990, 9.21037, 8.45731, 7.77602, 7.79913, 7.77589
03-OCT-1991, 8.51571, 9.30843, 10.26359, 9.87150, 9.15643, 9.15591, 9.15589, 9.18279, 9.15644, 9.15500, 9.15721, 8.41178, 7.73798, 7.75984, 7.73945
04-OCT-1991, 8.61131, 9.42316, 10.40303, 9.97904, 9.26380, 9.26414, 9.26386, 9.29033, 9.26403, 9.26296, 9.26343, 8.50273, 7.81458, 7.83728, 7.81576
07-OCT-1991, 8.89851, 9.76764, 10.82512, 9.97902, 9.52311, 9.52335, 9.52340, 9.55003, 9.52399, 9.52258, 9.52272, 8.72024, 7.99851, 8.02093, 7.99941
08-OCT-1991, 8.80293, 9.65264, 10.68379, 9.87221, 9.41560, 9.41497, 9.41528, 9.44235, 9.41624, 9.41446, 9.41637, 8.62958, 7.92247, 7.94515, 7.92190
09-OCT-1991, 8.65935, 9.48010, 10.47322, 9.39304, 9.19030, 9.19016, 9.19007, 9.21747, 9.18959, 9.19091, 9.18909, 8.44092, 7.76229, 7.78455, 7.76209
10-OCT-1991, 8.70709, 9.53790, 10.54310, 9.76547, 9.30736, 9.30852, 9.30734, 9.33484, 9.30705, 9.30831, 9.30803, 8.53882, 7.84621, 7.86805, 7.84596
14-OCT-1991, 8.80293, 9.65264, 10.68379, 9.87221, 9.41560, 9.41497, 9.41528, 9.44235, 9.41624, 9.41446, 9.41637, 8.62958, 7.92247, 7.94515, 7.92190
15-OCT-1991, 8.75505, 9.59513, 10.61341, 9.81883, 9.36147, 9.36125, 9.36242, 9.38794, 9.36164, 9.36138, 9.36110, 8.58498, 7.88407, 7.90607, 7.88574
17-OCT-1991, 8.65935, 9.48010, 10.47322, 9.71212, 9.25406, 9.25396, 9.25335, 9.28037, 9.25401, 9.25338, 9.25486, 8.49416, 7.80771, 7.82997, 7.80795
18-OCT-1991, 8.61131, 9.42316, 10.40303, 9.65878, 9.19999, 9.20029, 9.20054, 9.22602, 9.19947, 9.20034, 9.19967, 8.44947, 7.76915, 7.79184, 7.76988
21-OCT-1991, 8.61131, 9.42316, 10.40303, 9.65878, 9.19999, 9.20029, 9.20054, 9.22602, 9.19947, 9.20034, 9.19967, 8.44947, 7.76915, 7.79184, 7.76988
23-OCT-1991, 8.61131, 9.42316, 10.40303, 9.65878, 9.19999, 9.20029, 9.20054, 9.22602, 9.19947, 9.20034, 9.19967, 8.44947, 7.76915, 7.79184, 7.76988
24-OCT-1991, 8.70709, 9.53790, 10.54310, 9.76547, 9.30736, 9.30852, 9.30734, 9.33484, 9.30705, 9.30831, 9.30803, 8.53882, 7.84621, 7.86805, 7.84596
25-OCT-1991, 8.70709, 9.53790, 10.54310, 9.76547, 9.30736, 9.30852, 9.30734, 9.33484, 9.30705, 9.30831, 9.30803, 8.53882, 7.84621, 7.86805, 7.84596
29-OCT-1991, 8.61131, 9.42316, 10.40303, 9.65878, 9.19999, 9.20029, 9.20054, 9.22602, 9.19947, 9.20034, 9.19967, 8.44947, 7.76915, 7.79184, 7.76988
30-OCT-1991, 8.61131, 9.42316, 10.40303, 9.65878, 9.19999, 9.20029, 9.20054, 9.22602, 9.19947, 9.20034, 9.19967, 8.44947, 7.76915, 7.79184, 7.76988
01-NOV-1991, 8.56360, 9.36565, 10.33327, 9.60545, 9.14592, 9.14663, 9.14658, 9.17296, 9.14656, 9.14555, 9.14663, 8.40323, 7.73111, 7.75255, 7.73166
04-NOV-1991, 8.51570, 9.30842, 10.26358, 9.55215, 9.09268, 9.09213, 9.09264, 9.11855, 9.09356, 9.09256, 9.09149, 8.35848, 7.69245, 7.71431, 7.69348
05-NOV-1991, 8.51570, 9.30842, 10.26358, 9.55215, 9.09268, 9.09213, 9.09264, 9.11855, 9.09356, 9.09256, 9.09149, 8.35848, 7.69245, 7.71431, 7.69348
06-NOV-1991, 8.51570, 9.30842, 10.26358, 9.55215, 9.09268, 9.09213, 9.09264, 9.11855, 9.09356, 9.09256, 9.09149, 8.35848, 7.69245, 7.71431, 7.69348
07-NOV-1991, 8.70708, 9.53788, 10.54308, 9.76546, 9.30734, 9.30753, 9.30840, 9.33483, 9.30704, 9.30830, 9.30802, 8.53881, 7.84620, 7.86804, 7.84595
08-NOV-1991, 8.70708, 9.53788, 10.54308, 9.76546, 9.30734, 9.30753, 9.30840, 9.33483, 9.30704, 9.30830, 9.30802, 8.53881, 7.84620, 7.86804, 7.84595
11-NOV-1991, 8.70708, 9.53788, 10.54308, 9.76546, 9.30734, 9.30753, 9.30840, 9.33483, 9.30704, 9.30830, 9.30802, 8.53881, 7.84620, 7.86804, 7.84595
12-NOV-1991, 8.70708, 9.53788, 10.54308, 9.44593, 9.24354, 9.24467, 9.24401, 9.27051, 9.24410, 9.24391, 9.24424, 8.48559, 7.80018, 7.82369, 7.80014
13-NOV-1991, 8.75504, 9.59512, 10.61340, 9.81882, 9.36145, 9.36123, 9.36241, 9.38793, 9.36162, 9.36136, 9.36109, 8.58497, 7.88341, 7.90710, 7.88392
14-NOV-1991, 8.70708, 9.53788, 10.54308, 9.76546, 9.30734, 9.30753, 9.30840, 9.33483, 9.30704, 9.30830, 9.30802, 8.53881, 7.84620, 7.86804, 7.84595
18-NOV-1991, 8.61130, 9.42314, 10.40302, 9.97903, 9.26378, 9.26412, 9.26385, 9.29033, 9.26402, 9.26294, 9.26342, 8.50272, 7.81457, 7.83727, 7.81396
20-NOV-1991, 8.61130, 9.42314, 10.40302, 9.97903, 9.26378, 9.26412, 9.26385, 9.29033, 9.26402, 9.26294, 9.26342, 8.50272, 7.81457, 7.83727, 7.81396
21-NOV-1991, 8.61130, 9.42314, 10.40302, 9.65877, 9.19998, 9.20028, 9.20053, 9.22601, 9.19946, 9.20033, 9.19965, 8.44946, 7.76914, 7.79183, 7.76809
25-NOV-1991, 8.61130, 9.42314, 10.40302, 9.65877, 9.19998, 9.20028, 9.20053, 9.22601, 9.19946, 9.20033, 9.19965, 8.44946, 7.76914, 7.79183, 7.76809
26-NOV-1991, 8.56360, 9.36565, 10.33327, 9.60545, 9.14592, 9.14663, 9.14658, 9.17296, 9.14656, 9.14555, 9.14663, 8.40323, 7.73111, 7.75255, 7.73166
27-NOV-1991, 8.56360, 9.36565, 10.33327, 9.60545, 9.14592, 9.14663, 9.14658, 9.17296, 9.14656, 9.14555, 9.14663, 8.40323, 7.73111, 7.75255, 7.73166
29-NOV-1991, 8.46781, 9.25087, 10.19432, 9.81775, 9.10236, 9.10224, 9.10192, 9.12973, 9.10191, 9.10197, 9.10203, 8.36701, 7.69930, 7.72157, 7.69948
02-DEC-1991, 8.46782, 9.25089, 10.19434, 9.81776, 9.10237, 9.10226, 9.10310, 9.12846, 9.10192, 9.10198, 9.10204, 8.36702, 7.69931, 7.72158, 7.69949
03-DEC-1991, 8.46782, 9.25089, 10.19434, 9.81776, 9.10237, 9.10226, 9.10310, 9.12846, 9.10192, 9.10198, 9.10204, 8.36702, 7.69931, 7.72158, 7.69949
04-DEC-1991, 8.46782, 9.25089, 10.19434, 9.81776, 9.10237, 9.10226, 9.10310, 9.12846, 9.10192, 9.10198, 9.10204, 8.36702, 7.69931, 7.72158, 7.69949
06-DEC-1991, 8.37199, 9.13670, 10.05564, 10.35118, 9.12180, 9.12255, 9.12172, 9.14812, 9.12167, 9.12271, 9.12114, 8.38332, 7.71361, 7.73506, 7.71495
09-DEC-1991, 8.46782, 9.25089, 10.19434, 10.46046, 9.23000, 9.22995, 9.22973, 9.25570, 9.23093, 9.22895, 9.22956, 8.47365, 7.79035, 7.81374, 7.78973
10-DEC-1991, 8.46782, 9.25089, 10.19434, 10.13828, 9.16615, 9.16606, 9.16638, 9.19135, 9.16633, 9.16631, 9.16576, 8.42034, 7.74485, 7.76713, 7.74546
11-DEC-1991, 8.46782, 9.25089, 10.19434, 10.13828, 9.16615, 9.16606, 9.16638, 9.19135, 9.16633, 9.16631, 9.16576, 8.42034, 7.74485, 7.76713, 7.74546
13-DEC-1991, 8.41984, 9.19395, 10.12477, 10.08410, 9.11207, 9.11239, 9.11240, 9.13828, 9.11179, 9.11140, 9.11260, 8.37477, 7.70674, 7.72886, 7.70549
16-DEC-1991, 8.41984, 9.19395, 10.12477, 10.08410, 9.11207, 9.11239, 9.11240, 9.13828, 9.11179, 9.11140, 9.11260, 8.37477, 7.70674, 7.72886, 7.70549
17-DEC-1991, 8.41984, 9.19395, 10.12477, 10.08410, 9.11207, 9.11239, 9.11240, 9.13828, 9.11179, 9.11140, 9.11260, 8.37477, 7.70674, 7.72886, 7.70549
18-DEC-1991, 8.41984, 9.19395, 10.12477, 10.40581, 9.17589, 9.17624, 9.17572, 9.20259, 9.17472, 9.17577, 9.17636, 8.42890, 7.75172, 7.77442, 7.75149
19-DEC-1991, 8.41984, 9.19395, 10.12477, 10.40581, 9.17589, 9.17624, 9.17572, 9.20259, 9.17472, 9.17577, 9.17636, 8.42890, 7.75172, 7.77442, 7.75149
20-DEC-1991, 8.41984, 9.19395, 10.12477, 10.40581, 9.17589, 9.17624, 9.17572, 9.20259, 9.17472, 9.17577, 9.17636, 8.42890, 7.75172, 7.77442, 7.75149
24-DEC-1991, 8.32394, 9.07972, 9.98657, 10.61901, 9.13154, 9.13175, 9.13212, 9.15797, 9.13157, 9.13216, 9.13173, 8.39108, 7.72041, 7.74336, 7.72098
27-DEC-1991, 8.32394, 9.07972, 9.98657, 10.61901, 9.13154, 9.13175, 9.13212, 9.15797, 9.13157, 9.13216, 9.13173, 8.39108, 7.72041, 7.74336, 7.72098
30-DEC-1991, 8.32394, 9.07972, 9.98657, 10.61901, 9.13154, 9.13175, 9.13212, 9.15797, 9.13157, 9.13216, 9.13173, 8.39108, 7.72041, 7.74336, 7.72098
31-DEC-1991, 8.42013, 9.19413, 10.12521, 10.08414, 9.11208, 9.11240, 9.11241, 9.13967, 9.11190, 9.11338, 9.11068, 8.37565, 7.70625, 7.72893, 7.70733
03-JAN-1992, 8.41983, 9.19394, 10.12475, 10.08409, 9.11206, 9.11238, 9.11239, 9.13828, 9.11178, 9.11139, 9.11259, 8.37476, 7.70673, 7.72777, 7.70717
06-JAN-1992, 8.41983, 9.19394, 10.12475, 10.08409, 9.11206, 9.11238, 9.11239, 9.13828, 9.11178, 9.11139, 9.11259, 8.37476, 7.70673, 7.72777, 7.70717
07-JAN-1992, 8.32393, 9.07971, 9.98655, 10.29656, 9.06771, 9.06887, 9.06773, 9.09366, 9.06863, 9.06779, 9.06797, 8.33770, 7.67479, 7.69664, 7.67657
08-JAN-1992, 8.27601, 9.02276, 9.91754, 10.24197, 9.01445, 9.01435, 9.01378, 9.04060, 9.01411, 9.01291, 9.01483, 8.29206, 7.63657, 7.65826, 7.63650
09-JAN-1992, 8.37198, 9.13669, 10.05562, 10.35117, 9.12178, 9.12254, 9.12171, 9.14811, 9.12166, 9.12270, 9.12113, 8.38331, 7.71296, 7.73606, 7.71318
13-JAN-1992, 8.37198, 9.13669, 10.05562, 10.35117, 9.12178, 9.12254, 9.12171, 9.14811, 9.12166, 9.12270, 9.12113, 8.38331, 7.71296, 7.73606, 7.71318
14-JAN-1992, 8.37198, 9.13669, 10.05562, 10.35117, 9.12178, 9.12254, 9.12171, 9.14811, 9.12166, 9.12270, 9.12113, 8.38331, 7.71296, 7.73606, 7.71318
15-JAN-1992, 8.41983, 9.19394, 10.12475, 10.40580, 9.17588, 9.17623, 9.17570, 9.20259, 9.17471, 9.17576, 9.17635, 8.42889, 7.75171, 7.77441, 7.75148
20-JAN-1992, 8.41983, 9.19394, 10.12475, 10.40580, 9.17588, 9.17623, 9.17570, 9.20259, 9.17471, 9.17576, 9.17635, 8.42889, 7.75171, 7.77441, 7.75148
22-JAN-1992, 8.41983, 9.19394, 10.12475, 10.08409, 9.11206, 9.11238, 9.11239, 9.13828, 9.11178, 9.11139, 9.11259, 8.37476, 7.70673, 7.72777, 7.70717
23-JAN-1992, 8.51570, 9.30842, 10.26358, 10.19248, 9.22023, 9.21974, 9.21919, 9.24710, 9.21937, 9.21936, 9.22097, 8.46507, 7.78346, 7.80533, 7.78539
24-JAN-1992, 8.56360, 9.36565, 10.33327, 10.56980, 9.33747, 9.33828, 9.33780, 9.36474, 9.33711, 9.33892, 9.33598, 8.56468, 7.86693, 7.89010, 7.86777
27-JAN-1992, 8.70708, 9.53788, 10.54308, 10.73396, 9.50003, 9.49962, 9.50008, 9.52708, 9.49969, 9.50038, 9.50003, 8.70030, 7.98174, 8.00538, 7.98187
28-JAN-1992, 8.65934, 9.48009, 10.47321, 10.67922, 9.44582, 9.44582, 9.44597, 9.47248, 9.44653, 9.44531, 9.44674, 8.65488, 7.94397, 7.96631, 7.94389
30-JAN-1992, 8.70708, 9.53788, 10.54308, 11.06014, 9.56416, 9.56477, 9.56380, 9.59182, 9.56469, 9.56531, 9.56433, 8.75372, 8.02779, 8.04977, 8.02784
31-JAN-1992, 8.75504, 9.59512, 10.61340, 10.78872, 9.55426, 9.55344, 9.55421, 9.58170, 9.55451, 9.55367, 9.55332, 8.74570, 8.02013, 8.04336, 8.02167
03-FEB-1992, 8.80292, 9.65263, 10.68377, 10.84350, 9.60851, 9.60827, 9.60728, 9.63634, 9.60770, 9.60879, 9.60885, 8.79034, 8.05846, 8.08127, 8.05955
05-FEB-1992, 8.85081, 9.71017, 10.75422, 10.89829, 9.66277, 9.66212, 9.66264, 9.68969, 9.66256, 9.66211, 9.66219, 8.83651, 8.09614, 8.11914, 8.09738
07-FEB-1992, 8.94632, 9.82512, 10.89605, 10.68108, 9.70631, 9.70552, 9.70601, 9.73410, 9.70712, 9.70557, 9.70670, 8.87222, 8.12728, 8.15051, 8.12705
10-FEB-1992, 8.89850, 9.76763, 10.82510, 10.62672, 9.65205, 9.65166, 9.65184, 9.67944, 9.65226, 9.65225, 9.65336, 8.82691, 8.08906, 8.11271, 8.08930
12-FEB-1992, 8.94632, 9.82512, 10.89605, 10.35592, 9.64135, 9.64222, 9.64116, 9.66931, 9.64207, 9.64059, 9.64233, 8.81889, 8.08139, 8.10515, 8.08116
13-FEB-1992, 8.89850, 9.76763, 10.82510, 10.62672, 9.65205, 9.65166, 9.65184, 9.67944, 9.65226, 9.65225, 9.65336, 8.82691, 8.08906, 8.11271, 8.08930
14-FEB-1992, 8.89850, 9.76763, 10.82510, 10.62672, 9.65205, 9.65166, 9.65184, 9.67944, 9.65226, 9.65225, 9.65336, 8.82691, 8.08906, 8.11271, 8.08930
17-FEB-1992, 8.85081, 9.71017, 10.75422, 10.57238, 9.59780, 9.59783, 9.59769, 9.62621, 9.59752, 9.59713, 9.59783, 8.78231, 8.05079, 8.07486, 8.05150
18-FEB-1992, 8.89850, 9.76763, 10.82510, 10.62672, 9.65205, 9.65166, 9.65184, 9.67944, 9.65226, 9.65225, 9.65336, 8.82691, 8.08906, 8.11271, 8.08930
19-FEB-1992, 8.94632, 9.82512, 10.89605, 10.68108, 9.70631, 9.70552, 9.70601, 9.73410, 9.70712, 9.70557, 9.70670, 8.87222, 8.12728, 8.15051, 8.12705
20-FEB-1992, 8.94632, 9.82512, 10.89605, 10.68108, 9.70631, 9.70552, 9.70601, 9.73410, 9.70712, 9.70557, 9.70670, 8.87222, 8.12728, 8.15051, 8.12705
21-FEB-1992, 8.89850, 9.76763, 10.82510, 10.62672, 9.65205, 9.65166, 9.65184, 9.67944, 9.65226, 9.65225, 9.65336, 8.82691, 8.08906, 8.11271, 8.08930
24-FEB-1992, 8.89850, 9.76763, 10.82510, 10.62672, 9.65205, 9.65166, 9.65184, 9.67944, 9.65226, 9.65225, 9.65336, 8.82691, 8.08906, 8.11271, 8.08930
25-FEB-1992, 8.89850, 9.76763, 10.82510, 10.62672, 9.65205, 9.65166, 9.65184, 9.67944, 9.65226, 9.65225, 9.65336, 8.82691, 8.08906, 8.11271, 8.08930
26-FEB-1992, 8.89850, 9.76763, 10.82510, 10.62672, 9.65205, 9.65166, 9.65184, 9.67944, 9.65226, 9.65225, 9.65336, 8.82691, 8.08906, 8.11271, 8.08930
27-FEB-1992, 8.89850, 9.76763, 10.82510, 10.62672, 9.65205, 9.65166, 9.65184, 9.67944, 9.65226, 9.65225, 9.65336, 8.82691, 8.08906, 8.11271, 8.08930
28-FEB-1992, 8.85081, 9.71017, 10.75422, 10.57238, 9.59780, 9.59783, 9.59769, 9.62621, 9.59752, 9.59713, 9.59783, 8.78231, 8.05079, 8.07486, 8.05150
03-MAR-1992, 8.75287, 9.59261, 10.64259, 10.43716, 9.49011, 9.48927, 9.51818, 9.48938, 9.48962, 9.49076, 9.51789, 8.66718, 7.99751, 7.97434, 7.97578
04-MAR-1992, 8.75287, 9.59261, 10.64259, 10.43716, 9.49011, 9.48927, 9.51818, 9.48938, 9.48962, 9.49076, 9.51789, 8.66718, 7.99751, 7.97434, 7.97578
05-MAR-1992, 8.70513, 9.53515, 10.57213, 10.38302, 9.43592, 9.43549, 9.46393, 9.43496, 9.43649, 9.43571, 9.46228, 8.62263, 7.95897, 7.93756, 7.93605
09-MAR-1992, 8.70513, 9.53515, 10.57213, 10.38302, 9.43592, 9.43549, 9.46393, 9.43496, 9.43649, 9.43571, 9.46228, 8.62263, 7.95897, 7.93756, 7.93605
10-MAR-1992, 8.70513, 9.53515, 10.57213, 10.38302, 9.43592, 9.43549, 9.46393, 9.43496, 9.43649, 9.43571, 9.46228, 8.62263, 7.95897, 7.93756, 7.93605
11-MAR-1992, 8.70513, 9.53515, 10.57213, 10.38302, 9.43592, 9.43549, 9.46393, 9.43496, 9.43649, 9.43571, 9.46228, 8.62263, 7.95897, 7.93756, 7.93605
12-MAR-1992, 8.65719, 9.47795, 10.50173, 10.32890, 9.38175, 9.38173, 9.40970, 9.38196, 9.38184, 9.38069, 9.40888, 8.57732, 7.92103, 7.89856, 7.89804
16-MAR-1992, 8.60938, 9.42044, 10.43177, 10.27480, 9.32760, 9.32799, 9.35549, 9.32758, 9.32711, 9.32937, 9.35344, 8.53199, 7.88238, 7.86055, 7.86179
17-MAR-1992, 8.60938, 9.42044, 10.43177, 10.27480, 9.32760, 9.32799, 9.35549, 9.32758, 9.32711, 9.32937, 9.35344, 8.53199, 7.88238, 7.86055, 7.86179
18-MAR-1992, 8.60938, 9.42044, 10.43177, 10.27480, 9.32760, 9.32799, 9.35549, 9.32758, 9.32711, 9.32937, 9.35344, 8.53199, 7.88238, 7.86055, 7.86179
19-MAR-1992, 8.60938, 9.42044, 10.43177, 10.27480, 9.32760, 9.32799, 9.35549, 9.32758, 9.32711, 9.32937, 9.35344, 8.53199, 7.88238, 7.86055, 7.86179
20-MAR-1992, 8.56158, 9.36330, 10.36150, 10.22071, 9.27427, 9.27339, 9.30130, 9.27322, 9.27403, 9.27439, 9.30008, 8.48663, 7.84434, 7.82256, 7.82193
23-MAR-1992, 8.60938, 9.42044, 10.43177, 10.27480, 9.32760, 9.32799, 9.35549, 9.32758, 9.32711, 9.32937, 9.35344, 8.53199, 7.88238, 7.86055, 7.86179
24-MAR-1992, 8.65719, 9.47795, 10.50173, 10.32890, 9.38175, 9.38173, 9.40970, 9.38196, 9.38184, 9.38069, 9.40888, 8.57732, 7.92103, 7.89856, 7.89804
25-MAR-1992, 8.60938, 9.42044, 10.43177, 10.27480, 9.32760, 9.32799, 9.35549, 9.32758, 9.32711, 9.32937, 9.35344, 8.53199, 7.88238, 7.86055, 7.86179
26-MAR-1992, 8.51369, 9.30609, 10.29166, 10.81312, 9.34801, 9.34858, 9.37441, 9.34751, 9.34879, 9.34863, 9.37504, 8.54853, 7.89695, 7.87424, 7.87579
27-MAR-1992, 8.51369, 9.30609, 10.29166, 10.81312, 9.34801, 9.34858, 9.37441, 9.34751, 9.34879, 9.34863, 9.37504, 8.54853, 7.89695, 7.87424, 7.87579
30-MAR-1992, 8.51369, 9.30609, 10.29166, 10.81312, 9.34801, 9.34858, 9.37441, 9.34751, 9.34879, 9.34863, 9.37504, 8.54853, 7.89695, 7.87424, 7.87579
31-MAR-1992, 8.51397, 9.30627, 10.29210, 10.81317, 9.34802, 9.34858, 9.37560, 9.34761, 9.34890, 9.34874, 9.37515, 8.54862, 7.89702, 7.87542, 7.87412
01-APR-1992, 8.51370, 9.30610, 10.29167, 10.81313, 9.34803, 9.34859, 9.37442, 9.34752, 9.34880, 9.34865, 9.37505, 8.54854, 7.89696, 7.87425, 7.87579
02-APR-1992, 8.51370, 9.30610, 10.29167, 10.81313, 9.34803, 9.34859, 9.37442, 9.34752, 9.34880, 9.34865, 9.37505, 8.54854, 7.89696, 7.87425, 7.87579
03-APR-1992, 8.46582, 9.24857, 10.22227, 10.75815, 9.29386, 9.29384, 9.32127, 9.29312, 9.29405, 9.29540, 9.31947, 8.50388, 7.85824, 7.83616, 7.83583
06-APR-1992, 8.46582, 9.24857, 10.22227, 10.75815, 9.29386, 9.29384, 9.32127, 9.29312, 9.29405, 9.29540, 9.31947, 8.50388, 7.85824, 7.83616, 7.83583
07-APR-1992, 8.46582, 9.24857, 10.22227, 10.43455, 9.22993, 9.22989, 9.25650, 9.23014, 9.22938, 9.23080, 9.25749, 8.44990, 7.81256, 7.79072, 7.79158
08-APR-1992, 8.46582, 9.24857, 10.22227, 10.11261, 9.16608, 9.16601, 9.19299, 9.16596, 9.16641, 9.16639, 9.19137, 8.39665, 7.76685, 7.74525, 7.74553
09-APR-1992, 8.46582, 9.24857, 10.22227, 10.11261, 9.16608, 9.16601, 9.19299, 9.16596, 9.16641, 9.16639, 9.19137, 8.39665, 7.76685, 7.74525, 7.74553
10-APR-1992, 8.46582, 9.24857, 10.22227, 10.11261, 9.16608, 9.16601, 9.19299, 9.16596, 9.16641, 9.16639, 9.19137, 8.39665, 7.76685, 7.74525, 7.74553
13-APR-1992, 8.41785, 9.19165, 10.15256, 10.05858, 9.11201, 9.11234, 9.13886, 9.11304, 9.11187, 9.11148, 9.14020, 8.35051, 7.72864, 7.70710, 7.70732
14-APR-1992, 8.41785, 9.19165, 10.15256, 10.05858, 9.11201, 9.11234, 9.13886, 9.11304, 9.11187, 9.11148, 9.14020, 8.35051, 7.72864, 7.70710, 7.70732
15-APR-1992, 8.41785, 9.19165, 10.15256, 10.05858, 9.11201, 9.11234, 9.13886, 9.11304, 9.11187, 9.11148, 9.14020, 8.35051, 7.72864, 7.70710, 7.70732
16-APR-1992, 8.41785, 9.19165, 10.15256, 10.05858, 9.11201, 9.11234, 9.13886, 9.11304, 9.11187, 9.11148, 9.14020, 8.35051, 7.72864, 7.70710, 7.70732
23-APR-1992, 8.22626, 8.96336, 9.87581, 10.48355, 9.02410, 9.02444, 9.04925, 9.02408, 9.02394, 9.02416, 9.05056, 8.27728, 7.66515, 7.64289, 7.64424
24-APR-1992, 8.17827, 8.90672, 9.80677, 10.10786, 8.90714, 8.90619, 8.93295, 8.90589, 8.90661, 8.90689, 8.93357, 8.17777, 7.58086, 7.55893, 7.55966
27-APR-1992, 8.22626, 8.96336, 9.87581, 10.48355, 9.02410, 9.02444, 9.04925, 9.02408, 9.02394, 9.02416, 9.05056, 8.27728, 7.66515, 7.64289, 7.64424
28-APR-1992, 8.22626, 8.96336, 9.87581, 10.48355, 9.02410, 9.02444, 9.04925, 9.02408, 9.02394, 9.02416, 9.05056, 8.27728, 7.66515, 7.64289, 7.64424
01-MAY-1992, 8.13029, 8.84974, 9.73816, 10.05346, 8.85313, 8.85259, 8.87889, 8.85303, 8.85374, 8.85217, 8.87832, 8.13296, 7.54179, 7.52048, 7.51946
04-MAY-1992, 8.13029, 8.84974, 9.73816, 10.05346, 8.85313, 8.85259, 8.87889, 8.85303, 8.85374, 8.85217, 8.87832, 8.13296, 7.54179, 7.52048, 7.51946
05-MAY-1992, 8.13029, 8.84974, 9.73816, 10.05346, 8.85313, 8.85259, 8.87889, 8.85303, 8.85374, 8.85217, 8.87832, 8.13296, 7.54179, 7.52048, 7.51946
06-MAY-1992, 8.13029, 8.84974, 9.73816, 10.05346, 8.85313, 8.85259, 8.87889, 8.85303, 8.85374, 8.85217, 8.87832, 8.13296, 7.54179, 7.52048, 7.51946
07-MAY-1992, 8.13029, 8.84974, 9.73816, 10.05346, 8.85313, 8.85259, 8.87889, 8.85303, 8.85374, 8.85217, 8.87832, 8.13296, 7.54179, 7.52048, 7.51946
08-MAY-1992, 8.03438, 8.73615, 9.60111, 10.26419, 8.80878, 8.80907, 8.83409, 8.80854, 8.80897, 8.80844, 8.83344, 8.09572, 7.50937, 7.48798, 7.49003
11-MAY-1992, 7.98635, 8.67916, 9.53305, 10.20940, 8.75480, 8.75549, 8.78006, 8.75435, 8.75601, 8.75366, 8.78021, 8.05007, 7.47074, 7.44942, 7.44972
12-MAY-1992, 8.03438, 8.73615, 9.60111, 10.26419, 8.80878, 8.80907, 8.83409, 8.80854, 8.80897, 8.80844, 8.83344, 8.09572, 7.50937, 7.48798, 7.49003
13-MAY-1992, 8.03438, 8.73615, 9.60111, 10.26419, 8.80878, 8.80907, 8.83409, 8.80854, 8.80897, 8.80844, 8.83344, 8.09572, 7.50937, 7.48798, 7.49003
14-MAY-1992, 8.08232, 8.79281, 9.66961, 9.68082, 8.73639, 8.73650, 8.76070, 8.73643, 8.73674, 8.73526, 8.76167, 8.03423, 7.45672, 7.43632, 7.43643
15-MAY-1992, 7.93822, 8.62279, 9.46467, 10.15464, 8.70084, 8.70193, 8.72605, 8.70153, 8.70002, 8.70243, 8.72502, 8.00517, 7.43088, 7.41072, 7.41097
18-MAY-1992, 7.98635, 8.67916, 9.53305, 10.53002, 8.81843, 8.81817, 8.84323, 8.81817, 8.81865, 8.81768, 8.84381, 8.10332, 7.51672, 7.49511, 7.49594
19-MAY-1992, 7.98635, 8.67916, 9.53305, 10.53002, 8.81843, 8.81817, 8.84323, 8.81817, 8.81865, 8.81768, 8.84381, 8.10332, 7.51672, 7.49511, 7.49594
20-MAY-1992, 7.93822, 8.62279, 9.46467, 10.47479, 8.76444, 8.76458, 8.78918, 8.76396, 8.76568, 8.76287, 8.79055, 8.05766, 7.47745, 7.45646, 7.45722
21-MAY-1992, 7.93822, 8.62279, 9.46467, 10.47479, 8.76444, 8.76458, 8.78918, 8.76396, 8.76568, 8.76287, 8.79055, 8.05766, 7.47745, 7.45646, 7.45722
22-MAY-1992, 8.03438, 8.73615, 9.60111, 10.26419, 8.80878, 8.80907, 8.83409, 8.80854, 8.80897, 8.80844, 8.83344, 8.09572, 7.50937, 7.48798, 7.49003
25-MAY-1992, 8.03438, 8.73615, 9.60111, 10.26419, 8.80878, 8.80907, 8.83409, 8.80854, 8.80897, 8.80844, 8.83344, 8.09572, 7.50937, 7.48798, 7.49003
