,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST,join_id_bonds,join_id_fut,CPN,MATURITY,DAY_CNT_DES,INT_ACC_DT,CPN_FREQ,ISSUE_DT,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
6/11/2004,0.74019,EC438321,JBU04,134.63,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.389
6/14/2004,0.74019,EC438321,JBU04,133.95,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.47
6/15/2004,0.74019,EC438321,JBU04,134.47,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.414
6/16/2004,0.74019,EC438321,JBU04,133.9,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.481
6/17/2004,0.74019,EC438321,JBU04,133.43,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.53
6/18/2004,0.74019,EC438321,JBU04,133.71,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.499
6/21/2004,0.74019,EC438321,JBU04,133.95,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.475
6/22/2004,0.74019,EC438321,JBU04,133.9,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.481
6/23/2004,0.74019,EC438321,JBU04,133.8,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.494
6/24/2004,0.74019,EC438321,JBU04,133.7,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.505
6/25/2004,0.74019,EC438321,JBU04,134.45,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.424
6/28/2004,0.74019,EC438321,JBU04,134.33,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.435
6/29/2004,0.74019,EC438321,JBU04,134.55,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.409
6/30/2004,0.74019,EC438321,JBU04,135.1,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.35
7/1/2004,0.74019,EC438321,JBU04,134.5,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.42
7/2/2004,0.74019,EC438321,JBU04,135.3,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.33
7/5/2004,0.74019,EC438321,JBU04,135.25,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.334
7/6/2004,0.74019,EC438321,JBU04,135.45,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.315
7/7/2004,0.74019,EC438321,JBU04,135.32,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.33
7/8/2004,0.74019,EC438321,JBU04,135.49,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.311
7/9/2004,0.74019,EC438321,JBU04,134.97,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.37
7/12/2004,0.74019,EC438321,JBU04,135.3,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.334
7/13/2004,0.74019,EC438321,JBU04,135.5,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.315
7/14/2004,0.74019,EC438321,JBU04,135.32,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.335
7/15/2004,0.74019,EC438321,JBU04,135.09,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.36
7/16/2004,0.74019,EC438321,JBU04,135.49,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.32
7/20/2004,0.74019,EC438321,JBU04,135.76,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.29
7/21/2004,0.74019,EC438321,JBU04,135.39,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.33
7/22/2004,0.74019,EC438321,JBU04,135.47,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.326
7/23/2004,0.74019,EC438321,JBU04,135.1,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.365
7/26/2004,0.74019,EC438321,JBU04,135.1,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.365
7/27/2004,0.74019,EC438321,JBU04,134.74,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.406
7/28/2004,0.74019,EC438321,JBU04,134.71,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.415
7/29/2004,0.74019,EC438321,JBU04,135.09,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.371
7/30/2004,0.74019,EC438321,JBU04,134.85,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.399
8/2/2004,0.74019,EC438321,JBU04,134.58,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.43
8/3/2004,0.74019,EC438321,JBU04,134.73,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.414
8/4/2004,0.74019,EC438321,JBU04,135.36,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.345
8/5/2004,0.74019,EC438321,JBU04,135.84,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.291
8/6/2004,0.74019,EC438321,JBU04,136.25,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.245
8/9/2004,0.74019,EC438321,JBU04,136.71,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.195
8/10/2004,0.74019,EC438321,JBU04,136.72,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.195
8/11/2004,0.74019,EC438321,JBU04,136.38,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.235
8/12/2004,0.74019,EC438321,JBU04,136.64,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.205
8/13/2004,0.74019,EC438321,JBU04,137.23,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.14
8/16/2004,0.74019,EC438321,JBU04,137.4,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.12
8/17/2004,0.74019,EC438321,JBU04,137,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.165
8/18/2004,0.74019,EC438321,JBU04,137.24,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.14
8/19/2004,0.74019,EC438321,JBU04,136.93,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.175
8/20/2004,0.74019,EC438321,JBU04,137.13,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.155
8/23/2004,0.74019,EC438321,JBU04,136.88,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.185
8/24/2004,0.74019,EC438321,JBU04,136.99,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.175
8/25/2004,0.74019,EC438321,JBU04,136.69,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.209
8/26/2004,0.74019,EC438321,JBU04,136.87,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.19
8/27/2004,0.74019,EC438321,JBU04,137.27,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.144
8/30/2004,0.74019,EC438321,JBU04,137.28,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.145
8/31/2004,0.74019,EC438321,JBU04,137.65,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.104
9/1/2004,0.74019,EC438321,JBU04,137.85,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.079
9/2/2004,0.74019,EC438321,JBU04,137.9,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.074
9/3/2004,0.74019,EC438321,JBU04,137.77,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.089
9/6/2004,0.74019,EC438321,JBU04,137.32,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.139
9/7/2004,0.74019,EC438321,JBU04,137,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.175
9/8/2004,0.74019,EC438321,JBU04,137.08,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.169
9/9/2004,0.74019,EC438321,JBU04,137.74,EC438321 Govt,JBU04 Comdty,1.4,9/20/2011,NL/365,9/20/2001,2,9/20/2001,4-Sep,1.094
9/10/2004,0.745838,EC511829,JBZ04,137.15,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.095
9/13/2004,0.745838,EC511829,JBZ04,137.26,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.085
9/14/2004,0.745838,EC511829,JBZ04,137.21,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.089
9/15/2004,0.745838,EC511829,JBZ04,137.37,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.074
9/16/2004,0.745838,EC511829,JBZ04,137.18,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.094
9/17/2004,0.745838,EC511829,JBZ04,137.46,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.064
9/21/2004,0.745838,EC511829,JBZ04,137.73,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.039
9/22/2004,0.745838,EC511829,JBZ04,137.9,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.024
9/24/2004,0.745838,EC511829,JBZ04,138.29,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.984
9/27/2004,0.745838,EC511829,JBZ04,138.25,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.989
9/28/2004,0.745838,EC511829,JBZ04,138.37,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.975
9/29/2004,0.745838,EC511829,JBZ04,138.25,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.989
9/30/2004,0.745838,EC511829,JBZ04,137.97,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.019
10/1/2004,0.745838,EC511829,JBZ04,137.66,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.054
10/4/2004,0.745838,EC511829,JBZ04,137.17,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.105
10/5/2004,0.745838,EC511829,JBZ04,136.83,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.144
10/6/2004,0.745838,EC511829,JBZ04,137.05,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.12
10/7/2004,0.745838,EC511829,JBZ04,137.05,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.12
10/8/2004,0.745838,EC511829,JBZ04,137.15,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.111
10/12/2004,0.745838,EC511829,JBZ04,138.05,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.014
10/13/2004,0.745838,EC511829,JBZ04,137.88,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.034
10/14/2004,0.745838,EC511829,JBZ04,138.23,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.999
10/15/2004,0.745838,EC511829,JBZ04,138.25,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.995
10/18/2004,0.745838,EC511829,JBZ04,138.04,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.019
10/19/2004,0.745838,EC511829,JBZ04,137.95,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.03
10/20/2004,0.745838,EC511829,JBZ04,138.29,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.995
10/21/2004,0.745838,EC511829,JBZ04,138.5,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.973
10/22/2004,0.745838,EC511829,JBZ04,138.01,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.024
10/25/2004,0.745838,EC511829,JBZ04,138.65,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.955
10/26/2004,0.745838,EC511829,JBZ04,138.61,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.959
10/27/2004,0.745838,EC511829,JBZ04,138.55,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.969
10/28/2004,0.745838,EC511829,JBZ04,138.13,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.014
10/29/2004,0.745838,EC511829,JBZ04,138.15,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.013
11/1/2004,0.745838,EC511829,JBZ04,138.01,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.029
11/2/2004,0.745838,EC511829,JBZ04,137.57,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.079
11/4/2004,0.745838,EC511829,JBZ04,137.9,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.045
11/5/2004,0.745838,EC511829,JBZ04,137.81,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.054
11/8/2004,0.745838,EC511829,JBZ04,137.63,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.075
11/9/2004,0.745838,EC511829,JBZ04,137.96,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.044
11/10/2004,0.745838,EC511829,JBZ04,138.15,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.019
11/11/2004,0.745838,EC511829,JBZ04,138.42,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.989
11/12/2004,0.745838,EC511829,JBZ04,138.21,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.014
11/15/2004,0.745838,EC511829,JBZ04,138.1,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.024
11/16/2004,0.745838,EC511829,JBZ04,138.3,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.004
11/17/2004,0.745838,EC511829,JBZ04,138.3,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,1.004
11/18/2004,0.745838,EC511829,JBZ04,138.64,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.969
11/19/2004,0.745838,EC511829,JBZ04,138.72,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.964
11/22/2004,0.745838,EC511829,JBZ04,138.95,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.939
11/24/2004,0.745838,EC511829,JBZ04,138.96,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.939
11/25/2004,0.745838,EC511829,JBZ04,138.86,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.949
11/26/2004,0.745838,EC511829,JBZ04,138.8,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.954
11/29/2004,0.745838,EC511829,JBZ04,138.55,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.984
11/30/2004,0.745838,EC511829,JBZ04,138.64,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.975
12/1/2004,0.745838,EC511829,JBZ04,138.73,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.965
12/2/2004,0.745838,EC511829,JBZ04,139.06,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.93
12/3/2004,0.745838,EC511829,JBZ04,139.03,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.935
12/6/2004,0.745838,EC511829,JBZ04,139.01,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.933
12/7/2004,0.745838,EC511829,JBZ04,139.07,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.929
12/8/2004,0.745838,EC511829,JBZ04,139.1,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.928
12/9/2004,0.745838,EC511829,JBZ04,139.55,EC511829 Govt,JBZ04 Comdty,1.5,12/20/2011,NL/365,12/20/2001,2,2/20/2002,4-Dec,0.894
12/10/2004,0.745838,EC523167,JBH05,138.85,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.914
12/13/2004,0.745838,EC523167,JBH05,139.02,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.894
12/14/2004,0.745838,EC523167,JBH05,139,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.9
12/15/2004,0.745838,EC523167,JBH05,138.88,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.915
12/16/2004,0.745838,EC523167,JBH05,138.8,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.924
12/17/2004,0.745838,EC523167,JBH05,138.59,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.949
12/20/2004,0.745838,EC523167,JBH05,138.78,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.93
12/21/2004,0.745838,EC523167,JBH05,139.08,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.899
12/22/2004,0.745838,EC523167,JBH05,139.11,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.894
12/23/2004,0.745838,EC523167,JBH05,139.12,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.894
12/24/2004,0.745838,EC523167,JBH05,139.03,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.903
12/27/2004,0.745838,EC523167,JBH05,138.63,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.945
12/28/2004,0.745838,EC523167,JBH05,138.34,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.979
12/29/2004,0.745838,EC523167,JBH05,138.44,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.969
12/30/2004,0.745838,EC523167,JBH05,138.36,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.98
1/4/2005,0.745838,EC523167,JBH05,138.79,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.934
1/5/2005,0.745838,EC523167,JBH05,138.73,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.939
1/6/2005,0.745838,EC523167,JBH05,138.68,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.945
1/7/2005,0.745838,EC523167,JBH05,138.75,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.939
1/11/2005,0.745838,EC523167,JBH05,138.93,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.92
1/12/2005,0.745838,EC523167,JBH05,139.16,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.895
1/13/2005,0.745838,EC523167,JBH05,139.12,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.9
1/14/2005,0.745838,EC523167,JBH05,139.01,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.915
1/17/2005,0.745838,EC523167,JBH05,138.9,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.924
1/18/2005,0.745838,EC523167,JBH05,139.16,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.9
1/19/2005,0.745838,EC523167,JBH05,139.26,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.889
1/20/2005,0.745838,EC523167,JBH05,139.3,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.885
1/21/2005,0.745838,EC523167,JBH05,139.43,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.874
1/24/2005,0.745838,EC523167,JBH05,139.45,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.87
1/25/2005,0.745838,EC523167,JBH05,139.54,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.86
1/26/2005,0.745838,EC523167,JBH05,139.51,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.865
1/27/2005,0.745838,EC523167,JBH05,139.6,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.855
1/28/2005,0.745838,EC523167,JBH05,139.78,EC523167 Govt,JBH05 Comdty,1.5,3/20/2012,NL/365,3/20/2002,2,3/20/2002,5-Mar,0.835
